1;1
2;0
3;1
4;1
5;0
6;1
7;1
8;0
9;1
10;1
11;0
12;0
13;1
14;0
15;0
16;1
17;1
18;1
19;0
20;0
21;1
22;0
23;1
24;1
25;0
26;1
27;1
28;1
29;0
30;1
31;1
32;0
33;0
34;0
35;0
36;1
37;0
38;1
39;1
40;0
41;0
42;1
43;0
44;0
45;1
46;0
47;0
48;1
49;0
50;0
51;1
52;0
53;1
54;0
55;1
56;0
57;1
58;0
59;1
60;1
61;1
62;0
63;1
64;1
65;1
66;0
67;1
68;1
69;0
70;1
71;0
72;1
73;1
74;0
75;1
76;1
77;0
78;1
79;1
80;0
81;1
82;0
83;0
84;0
85;1
86;1
87;1
88;0
89;1
90;0
91;0
92;1
93;1
94;1
95;0
96;1
97;0
98;0
99;1
100;0
1;1
2;0
3;1
4;1
5;0
6;1
7;1
8;0
9;1
10;1
11;0
12;0
13;1
14;0
15;0
16;1
17;1
18;1
19;0
20;0
21;1
22;0
23;1
24;1
25;0
26;1
27;1
28;1
29;0
30;1
31;1
32;0
33;0
34;0
35;0
36;1
37;0
38;1
39;1
40;0
41;0
42;1
43;0
44;0
45;1
46;0
47;0
48;1
49;0
50;0
51;1
52;0
53;1
54;0
55;1
56;0
57;1
58;0
59;1
60;1
61;1
62;0
63;1
64;1
65;1
66;0
67;1
68;1
69;0
70;1
71;0
72;1
73;1
74;0
75;1
76;1
77;0
78;1
79;1
80;0
81;1
82;0
83;0
84;0
85;1
86;1
87;1
88;0
89;1
90;0
91;0
92;1
93;1
94;1
95;0
96;1
97;0
98;0
99;1
100;0
1;1
2;0
3;1
4;1
5;0
6;1
7;1
8;0
9;1
10;1
11;0
12;0
13;1
14;0
15;0
16;1
17;1
18;1
19;0
20;0
21;1
22;0
23;1
24;1
25;0
26;1
27;1
28;1
29;0
30;1
31;1
32;0
33;0
34;0
35;0
36;1
37;0
38;1
1;1
2;0
3;1
4;1
5;0
6;1
7;1
8;0
9;1
10;1
11;0
12;0
13;1
14;0
15;0
16;1
17;1
18;1
19;0
20;0
21;1
22;0
23;1
24;1
25;0
26;1
27;1
28;1
29;0
30;1
31;1
32;0
33;0
34;0
35;0
36;1
37;0
38;1
39;1
40;0
41;0
42;1
43;0
44;0
45;1
46;0
47;0
48;1
49;0
50;0
51;1
52;0
53;1
54;0
55;1
56;0
57;1
58;0
59;1
60;1
61;1
62;0
63;1
64;1
65;1
66;0
67;1
68;1
69;0
70;1
71;0
72;1
73;1
74;0
75;1
76;1
77;0
78;1
79;1
80;0
81;1
82;0
83;0
84;0
85;1
86;1
87;1
88;0
89;1
90;0
91;0
92;1
93;1
94;1
95;0
96;1
97;0
98;0
99;1
100;0
1;1
2;0
3;1
4;1
5;0
6;1
7;1
8;0
9;1
10;1
11;0
12;0
13;1
14;0
15;0
16;1
17;1
18;1
19;0
20;0
21;1
22;0
23;1
24;1
25;0
26;1
27;1
28;1
29;0
30;1
31;1
32;0
33;0
34;0
35;0
36;1
37;0
38;1
39;1
40;0
41;0
42;1
43;0
44;0
45;1
46;0
47;0
48;1
49;0
50;0
51;1
52;0
53;1
54;0
55;1
56;0
57;1
58;0
59;1
60;1
61;1
62;0
63;1
64;1
65;1
66;0
67;1
68;1
69;0
70;1
71;0
72;1
73;1
74;0
75;1
76;1
77;0
78;1
79;1
80;0
81;1
82;0
83;0
84;0
85;1
86;1
87;1
88;0
89;1
90;0
91;0
92;1
93;1
94;1
95;0
96;1
97;0
98;0
99;1
100;0
1;1
2;0
3;1
4;1
5;0
6;1
7;1
8;0
9;1
10;1
11;0
12;0
13;1
14;0
15;0
16;1
17;1
18;1
19;0
20;0
21;1
22;0
23;1
1;1
2;0
3;1
4;1
5;0
6;1
7;1
8;0
9;1
10;1
11;0
12;0
13;1
14;0
15;0
16;1
17;1
18;1
19;0
20;0
21;1
22;0
23;1
24;1
25;0
26;1
27;1
28;1
29;0
30;1
31;1
32;0
33;0
34;0
35;0
36;1
37;0
38;1
39;1
40;0
41;0
42;1
43;0
44;0
45;1
46;0
47;0
48;1
49;0
50;0
51;1
52;0
53;1
54;0
55;1
56;0
57;1
58;0
59;1
60;1
61;1
62;0
63;1
64;1
65;1
66;0
67;1
68;1
69;0
70;1
71;0
72;1
73;1
74;0
75;1
76;1
77;0
78;1
79;1
80;0
81;1
82;0
83;0
84;0
85;1
86;1
87;1
88;0
89;1
90;0
91;0
92;1
93;1
94;1
95;0
96;1
97;0
98;0
99;1
100;0
